"Date","GOOG.Close","ZM.Close","TSLA.Close"
"2020-01-22",1485.949951,75.540001,113.912003
"2020-01-23",1486.650024,74.470001,114.440002
"2020-01-24",1466.709961,73,112.963997
"2020-01-27",1433.900024,70.440002,111.603996
"2020-01-28",1452.560059,71.510002,113.379997
"2020-01-29",1458.630005,73.580002,116.197998
"2020-01-30",1455.839966,74.540001,128.162003
"2020-01-31",1434.22998,76.300003,130.113998
"2020-02-03",1485.939941,87.660004,156
"2020-02-04",1447.069946,85.790001,177.412003
"2020-02-05",1448.22998,86.989998,146.940002
"2020-02-06",1476.22998,87.260002,149.792007
"2020-02-07",1479.22998,88.639999,149.613998
"2020-02-10",1508.680054,89.669998,154.255997
"2020-02-11",1508.790039,88.68,154.876007
"2020-02-12",1518.27002,88.279999,153.457993
"2020-02-13",1514.660034,89.860001,160.800003
"2020-02-14",1520.73999,90.949997,160.005997
"2020-02-18",1519.670044,96.389999,171.679993
"2020-02-19",1526.689941,103.93,183.483994
"2020-02-20",1518.150024,105.290001,179.882004
"2020-02-21",1485.109985,101.760002,180.199997
"2020-02-24",1421.589966,105.010002,166.757996
"2020-02-25",1388.449951,107.080002,159.981995
"2020-02-26",1393.180054,106.879997,155.759995
"2020-02-27",1318.089966,113.550003,135.800003
"2020-02-28",1339.329956,105,133.598007
"2020-03-02",1389.109985,113.110001,148.723999
"2020-03-03",1341.390015,117.470001,149.102005
"2020-03-04",1386.52002,116.800003,149.899994
"2020-03-05",1319.040039,125,144.908005
"2020-03-06",1298.410034,114.32,140.695999
"2020-03-09",1215.560059,113.75,121.599998
"2020-03-10",1280.390015,108.489998,129.065994
"2020-03-11",1215.410034,110.300003,126.846001
"2020-03-12",1114.910034,109.470001,112.110001
"2020-03-13",1219.72998,107.470001,109.323997
"2020-03-16",1084.329956,107.860001,89.014
"2020-03-17",1119.800049,111.099998,86.040001
"2020-03-18",1096.800049,118.709999,72.244003
"2020-03-19",1115.290039,123.769997,85.528
"2020-03-20",1072.319946,130.550003,85.505997
"2020-03-23",1056.619995,159.559998,86.858002
"2020-03-24",1134.459961,135.179993,101
"2020-03-25",1102.48999,138.110001,107.849998
"2020-03-26",1161.75,141.149994,105.632004
"2020-03-27",1110.709961,151.699997,102.872002
"2020-03-30",1146.819946,150.880005,100.426003
"2020-03-31",1162.810059,146.119995,104.800003
"2020-04-01",1105.619995,137,96.311996
"2020-04-02",1120.839966,121.93,90.893997
"2020-04-03",1097.880005,128.199997,96.001999
"2020-04-06",1186.920044,122.940002,103.248001
"2020-04-07",1186.51001,113.75,109.089996
"2020-04-08",1210.280029,117.809998,109.767998
"2020-04-09",1211.449951,124.510002,114.599998
"2020-04-13",1217.560059,135.919998,130.190002
"2020-04-14",1269.22998,141.889999,141.977997
"2020-04-15",1262.469971,151.559998,145.966003
"2020-04-16",1263.469971,150.259995,149.042007
"2020-04-17",1283.25,150.059998,150.778
"2020-04-20",1266.609985,148.990005,149.272003
"2020-04-21",1216.339966,143.270004,137.343994
"2020-04-22",1263.209961,150.25,146.421997
"2020-04-23",1276.310059,169.089996,141.126007
"2020-04-24",1279.310059,158.800003,145.029999
"2020-04-27",1275.880005,164.600006,159.75
"2020-04-28",1233.670044,156.720001,153.824005
"2020-04-29",1341.47998,146.479996,160.102005
"2020-04-30",1348.660034,135.169998,156.376007
"2020-05-01",1320.609985,138.559998,140.264008
"2020-05-04",1326.800049,143.440002,152.238007
"2020-05-05",1351.109985,144.820007,153.641998
"2020-05-06",1347.300049,149.589996,156.516006
"2020-05-07",1372.560059,157.800003,156.007996
"2020-05-08",1388.369995,155.399994,163.884003
"2020-05-11",1403.26001,166.479996,162.257996
"2020-05-12",1375.73999,161.039993,161.882004
"2020-05-13",1349.329956,167.139999,158.192001
"2020-05-14",1356.130005,167.910004,160.666
"2020-05-15",1373.189941,174.830002,159.834
"2020-05-18",1383.939941,164.690002,162.725998
